Sl. No.,NAME OF THE COUNTRY,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
1,AFGHANISTAN,32611,39322,185.4,1203.5
2,AUSTRALIA,17987,19549,93.9,248.2
3,AUSTRIA,5864,7217,216.4,115.7
4,AZERBAIJAN,0,0,0,0
5,BAHRAIN,147406,130157,262.9,2453.7
6,BANGLADESH,119747,118237,595.7,1540
7,BELGIUM,11657,14590,471,757.5
8,BHUTAN,16706,17583,0.6,22.4
9,BURMA,3240,4364,0,30.7
10,CANADA,26492,36945,410,407.5
11,CHINA,74023,82057,8589.3,2127.9
12,EGYPT,5027,5982,36,103
13,ETHIOPIA,46605,57429,632,3416.6
14,FINLAND,8083,9905,463.3,608.4
15,FRANCE,81285,91728,4517.7,4278.7
16,GEORGIA,0,0,0,0
17,GERMANY,168347,195461,15055.8,16778.6
18,HONG KONG,190634,201573,27849.6,13656.5
19,INDONESIA,4087,4154,2.3,73
20,IRAN,6377,6763,53.6,305.6
21,IRAQ,5779,5809,0,0
22,ISRAEL,4762,5497,291.2,167.8
23,ITALY,16997,17841,526.6,571.2
24,JAPAN,41875,48627,3396,2460.6
25,JORDAN,0,0,0,0
26,KAZAKHSTAN,9721,8845,7.5,170.8
27,KENYA,20445,22754,39.8,29.3
28,KOREA,24089,28758,1555.9,794.5
29,KUWAIT,148123,135260,1932.4,6721.4
30,KYRGYZSTAN,4169,3859,0.2,105.4
31,MALAYSIA,308861,310137,4265.2,5047.8
32,MALDIVES,28068,28812,1.1,623.2
33,MAURITIUS,28537,31504,62.7,699
34,NEPAL,138175,124600,148.8,402.9
35,NETHERLANDS,61372,69525,4110.2,4488.8
36,OMAN,465638,382694,1257.2,6168.4
37,PAKISTAN,947,2654,3.3,20.2
38,QATAR,383920,362756,16286.8,30804.3
39,REUNION,949,1170,0,6.5
40,RUSSIA,41910,51759,185.5,1866.9
41,RWANDA,3390,3447,0,0
42,SAUDI ARABIA,445800,381530,3234.2,16901.6
43,SEYCHELLES,8931,9320,2,29
44,SINGAPORE,536312,543740,15173.1,17648.6
45,SOUTH AFRICA,0,0,0,0
46,SPAIN,6431,7062,56.2,342.2
47,SRI LANKA,285657,278157,2887.2,5971.6
48,SWITZERLAND,32471,39718,2568.7,3523.1
49,TAIWAN,3498,5942,857,203.7
50,TAJIKISTAN,1639,1302,1.6,47
51,THAILAND,420103,428861,10719.9,6941.8
52,TURKEY,55818,64815,3454.3,4518.9
53,TURKMENISTAN,6744,10557,2,102.7
54,UNITED ARAB EMIRATES,2429557,2287929,24256.9,73158.2
55,UNITED KINGDOM,282646,336866,13219.1,20929.8
56,UNITED STATES,117562,145869,1621.6,2802.1
57,UZBEKISTAN,12528,13149,857.4,1561.1
58,VIETNAM,0,0,0,0
59,YEMEN,1713,1696,0,9.4
60,TOTAL,7351315,7245837,172417,263967.2
